id,費目,値,単位,確度,レンジ下限,レンジ上限,出典,注記
partnered_carrier_yamato_140,FBAパートナーキャリア ヤマト 140サイズ（関東→関東・税込）,608,円/箱,実測,608,1260,https://business.kuronekoyamato.co.jp/promotion/toAmazonseller2024/index.html,"関東→関西857円。160サイズ関東→関東762円・関東→関西1,121円。基本運賃比 最大73〜77%引き。追加契約・条件交渉は不要、請求はAmazonから。サイズ別の全料金表は納品プラン作成画面でしか見られない（PDFにも非掲載）"
units_per_box,1箱あたりの収容個数（計算に使う値）,20,点/箱,推定,10,30,社内算定,仮定：FBA小型／標準サイズのみ、140サイズ段ボール1箱。実測は初回納品時に確定する
inbound_shipping_per_item,納品送料（1点あたり・計算に使う値）,37.5,円/点,推定,25.0,86.0,社内算定（prep_to_fba_shipping_box ÷ units_per_box）,"【現行モデル100円/点を37.5円/点へ修正】750円÷20点。悲観は e-fba 160サイズ860円÷10点=86.0円、楽観は750円÷30点=25.0円。旧100円/点は『160サイズ1,500円÷15点』という根拠不明の按分で、パートナーキャリア／代行の実料金を当てると過大だった"
misc_cost_rate_deprecated,雑費（売価の3%）,,率,未確認,,,—,【廃止】何を含むのか定義がなかった。下の3費目に分解して実額で積む。売価連動にする経理的な根拠がない（返品コストは売価でなく手数料と原価で決まる）
return_rate,返品率（引当に使う値）,0.03,率,推定,0.02,0.05,社内算定,実測値なし。社長の販売実績がゼロのため自社データが存在しない。初回販売後に実績で置き換える。仮定：一般雑貨3%
refund_administration_fee,返金処理手数料,,円/件,二次情報,,,https://force-r.co.jp/column/column-28008/,500円 と 販売手数料の10% のいずれか低い方。返金時に販売手数料は返還されるがFBA配送代行手数料は返還されない
return_disposal_fee,FBA返送／所有権の放棄手数料,,円/点,二次情報,60,870,https://sobani.co.jp/columnlist/amazon_return-disposal ／ https://ecstarslab.com/blog/fba-tesuuryo/,"小型・標準1,500gで242.5円（税込）という実例。1,000g超は1g単位で加算。売れ残りを引き上げる／捨てるときに必ず掛かる。SKU単位の撤退コスト"
unfulfillable_inspection_fee,納品不備受領作業手数料,,円/点,二次情報,51,122,https://ecstarslab.com/blog/fba-tesuuryo/,梱包・ラベル不備でFCに届いた場合。正しい納品で回避できるので引当に入れない
payout_bank_fee,売上金の振込手数料,0,円/回,二次情報,,,https://sobani.co.jp/columnlist/amazon_provision,Amazon負担。小口プランは自動振込ではなく手動リクエストが必要な点に注意
materials_cost,梱包資材費,0,円/点,実測,,,https://e-fba.com/ （資材込み料金）,納品代行の12円/点に資材が含まれるため二重計上しない。自分で納品する場合のみ別途
consumption_tax_position,消費税の立場,,—,実測,,,agents/accounting/memory/tax_invoice_menzei_seller.md（T-20260726-002）,社長は免税事業者・インボイス未登録。仕入税額控除ができないため、NETSEA卸値は税込が実コスト。Amazon手数料の消費税も同様に丸ごとコスト。売上に含まれる消費税の納税義務はない。税務判断は税理士確認を推奨
