カテゴリ,用語,よみ,1行定義,補足,関連語
3. 仕入れ手法,オンラインアービトラージ,おんらいんあーびとらーじ,ネット店舗との価格差で稼ぐ手法,OAと略す。電脳せどりとほぼ同義,電脳せどり
3. 仕入れ手法,輸入代行,ゆにゅうだいこう,中国などからの輸入手続きを代行する業者,検品・国内転送・関税申告を請け負う。中国輸入の必須パートナー,"中国輸入, 関税"
3. 仕入れ手法,並行輸入,へいこうゆにゅう,正規代理店を通さず海外から直輸入する商品,真贋トラブルが起きやすく要注意,"中国輸入, 真贋調査"
3. 仕入れ手法,リピート仕入れ,りぴーとしいれ,同一商品を継続して仕入れて販売するスタイル,在庫切れせず売上を安定させるのが目的,メーカー仕入れ
4. リサーチ・指標,売上ランク,うりあげらんく,Amazonがカテゴリ内で売れている順位を1位から振る指標,数字が小さいほど売れている。ランキングとも呼ぶ,"ランキング, 月販数"
4. リサーチ・指標,ランキング,らんきんぐ,売上ランクの口語呼び,「ランキング1万位以内」のように使う,売上ランク
4. リサーチ・指標,月販数,げっぱんすう,1ヶ月あたりに売れた個数の推定値,Keepaの売上ランク履歴のギザギザから推定する,"売上ランク, 回転率"
4. リサーチ・指標,回転率,かいてんりつ,在庫が売り切れて入れ替わる速さの指標,月3回転(在庫が月3回入れ替わる)以上が健全。資金繰りに直結,"月販数, 在庫回転"
4. リサーチ・指標,在庫回転,ざいこかいてん,在庫が販売で消化されること,回転が速いほど資金効率が良い,回転率
4. リサーチ・指標,競合密度,きょうごうみつど,同じ商品ページに何人セラーが相乗りしているかの度合い,3人以下なら参入余地あり、10人超は価格競争が激しい目安,"相乗り出品, FBA出品者数"
4. リサーチ・指標,FBA出品者数,えふびーえーしゅっぴんしゃすう,FBAで出品しているセラーの人数,Keepaで確認可能。0人は新規参入チャンスのサイン,競合密度
4. リサーチ・指標,価格推移,かかくすいい,商品の過去の販売価格の変動,Keepaのグラフで可視化。仕入れ判断の根幹データ,"Keepa, 売上ランク"
4. リサーチ・指標,需要,じゅよう,その商品が市場で求められている量,月販数を需要の代理指標として使う,月販数
4. リサーチ・指標,供給,きょうきゅう,その商品が市場に出回っている量,セラー数とFBA在庫数で測る,競合密度
4. リサーチ・指標,キーワード,きーわーど,検索流入の元になる単語やフレーズ,商品タイトル・検索キーワード欄に最適化して埋め込む,"リバースASIN, 検索ボリューム"
4. リサーチ・指標,リバースASIN,りばーすえいしん,ASINから逆引きしてその商品が検索された語を調べる手法,SellerSpriteやHelium10の主要機能,"SellerSprite, Helium10, キーワード"
4. リサーチ・指標,検索ボリューム,けんさくぼりゅーむ,特定キーワードがAmazonで検索された回数,月間検索数で需要を測る,"キーワード, リバースASIN"
4. リサーチ・指標,モノレート,ものれーと,かつて存在した売上ランク履歴ツール,2020年6月にサービス終了。現在はKeepaで代替する,"Keepa, DELTA tracer"
4. リサーチ・指標,DELTA tracer,でるたとれーさー,日本特化の無料売上ランク履歴ツール,デルタトレーサーと読む。Keepaの代替として国内利用者多数,"Keepa, ERESA"
4. リサーチ・指標,ERESA,えれさ,日本市場特化の無料リサーチツール,商品検索・履歴グラフ・FBA計算機を一体化,"Keepa, DELTA tracer"
5. ツール概要,Keepa,きーぱ,Amazon商品の価格・売上ランク履歴を可視化するツール,2026年3月以降Pro月額29ユーロ(約5300円)。物販の心電図と呼ばれる必須ツール,"DELTA tracer, ERESA, Product Finder"
5. ツール概要,Product Finder,ぷろだくとふぁいんだー,Keepa内のカテゴリ・ランク絞り込み検索機能,売れ筋商品を機械的に発掘できる,Keepa
5. ツール概要,SellerSprite,せらーすぷらいと,中国発のAmazon特化リサーチSaaS,リバースASIN・キーワード分析が強力。Pro月額約9800円〜,"リバースASIN, Helium10"
5. ツール概要,Helium10,へりうむてん,米国発の総合Amazonセラーツール,2026年4月値上げでPlatinum月額99ドル。中国輸入・OEM主軸の上級者向け,"SellerSprite, Jungle Scout"
5. ツール概要,アマサーチ,あまさーち,スマホで店舗仕入れ判定ができるアプリ,バーコードスキャンで利益計算。店舗せどり定番。月額2980円,"店舗せどり, セドリオン"
5. ツール概要,セドリオン,せどりおん,店舗せどり向け仕入れ判定アプリの一つ,アマサーチの競合。料金プランは複数,"アマサーチ, 店舗せどり"
5. ツール概要,FBA料金シミュレーター,えふびーえーりょうきんしみゅれーたー,Amazon公式の手数料試算ツール,完全無料・要ログイン。仕入れ前に必ず叩く,"FBA, 販売手数料"
5. ツール概要,FBA計算機,えふびーえーけいさんき,FBA料金シミュレーターの俗称,同上,FBA料金シミュレーター
5. ツール概要,プライスター,ぷらいすたー,価格自動改定と売上管理を一体化した国内SaaS,月額5280円。中級者以上の在庫管理に使う,"マカド, 価格自動改定"
5. ツール概要,マカド,まかど,価格自動改定ツールの国内代表格,月額4980円。プライスターと機能が近い,"プライスター, 価格自動改定"
5. ツール概要,価格自動改定,かかくじどうかいてい,カート価格に追従して自動で価格を変えるシステム,過度な値下げ戦争を防ぐ上限・下限設定が肝,"プライスター, マカド"
5. ツール概要,Jungle Scout,じゃんぐるすかうと,米国発のリサーチツール,Helium10と双璧。月額49ドル〜,"Helium10, SellerSprite"
5. ツール概要,Chrome拡張,くろーむかくちょう,Chromeブラウザに機能追加する小型プログラム,Keepa・Helium10・SellerSpriteは全てChrome拡張で動く,Keepa
5. ツール概要,セラースケット,せらーすけっと,アカウント停止リスクをモニタリングする国内SaaS,真贋・知財申立てを事前に検知。月額2480円,"真贋調査, 知財侵害申立"
5. ツール概要,SellerSprite無料版,せらーすぷらいとむりょうばん,SellerSpriteの機能制限付き無料アカウント,1日5回までキーワード検索可能,SellerSprite
6. 数字・経済性,粗利,あらり,売上から仕入原価のみを引いた利益,販売手数料・FBA手数料は含まれない。純利との区別が重要,"純利益, 利益率"
6. 数字・経済性,純利益,じゅんりえき,売上から全コストを引いた最終利益,販売手数料・FBA手数料・経費・税まで含む,"粗利, 利益率"
6. 数字・経済性,利益率,りえきりつ,売上に対する利益の割合,Amazon物販は粗利率20%以上が一般目安。当社目標も20%,"粗利, ROI"
6. 数字・経済性,ROI,あーるおーあい,投下資本に対する利益率,Return on Investment。中国輸入では30%以上を狙うのが定番,利益率
6. 数字・経済性,月商,げっしょう,1ヶ月あたりの売上総額,当社目標は800万円。利益と混同しないこと,"粗利, 利益率"
6. 数字・経済性,FBA手数料,えふびーえーてすうりょう,FBA利用時の配送代行料金,商品サイズ・重量で決まる。1点300〜600円が目安,"配送代行手数料, 在庫保管料"
6. 数字・経済性,配送代行手数料,はいそうだいこうてすうりょう,FBA倉庫が梱包・発送を代行する作業料,小型100サイズで300円台、大型で1000円超,FBA手数料
6. 数字・経済性,在庫保管料,ざいこほかんりょう,Amazon倉庫に在庫を置いている期間の保管料金,月単位課金。10〜11月は2倍に上がる繁忙期割増あり,"FBA手数料, 長期保管手数料"
6. 数字・経済性,長期保管手数料,ちょうきほかんてすうりょう,FBA倉庫に181日以上残った在庫に課される追加料金,365日超でさらに割増。死蔵在庫は即撤去判断,"在庫保管料, 不良在庫"
6. 数字・経済性,FBA返送手数料,えふびーえーへんそうてすうりょう,FBA在庫を自分の元に戻す際の返送料,1点あたり数百円。サイズで増減,FBA手数料
6. 数字・経済性,FBA廃棄手数料,えふびーえーはいきてすうりょう,FBA在庫をAmazonに廃棄処分してもらう料金,1点あたり数十円。返送よりは安い,"長期保管手数料, 不良在庫"
6. 数字・経済性,キャッシュフロー,きゃっしゅふろー,お金の流れ。手元現金の出入り,Amazonは2週間毎入金。仕入れ→入金まで30〜60日かかる,"入金サイクル, 運転資金"
6. 数字・経済性,入金サイクル,にゅうきんさいくる,Amazonから売上が振り込まれる頻度,標準は2週間毎(14日サイクル),キャッシュフロー
6. 数字・経済性,運転資金,うんてんしきん,事業を回すために常時必要な現金,仕入れ→販売→入金の間を埋める資金。月商の1〜2ヶ月分が目安,キャッシュフロー
6. 数字・経済性,不良在庫,ふりょうざいこ,売れ残って資金を寝かせている在庫,撤去・廃棄判断は早めが鉄則,"長期保管手数料, FBA廃棄手数料"
6. 数字・経済性,損益分岐点,そんえきぶんきてん,売上とコストが釣り合う売上水準,この水準を超えれば利益が出る,純利益
7. 規制・法律,出品制限カテゴリ,しゅっぴんせいげんかてごり,Amazonが出品許可を必要としているカテゴリ,化粧品・食品・玩具・時計など。請求書3通で解除申請,"出品許可申請, 出品制限"
7. 規制・法律,PSE,ぴーえすいー,電気用品安全法に基づく適合マーク,リチウム電池・モバイルバッテリーは菱形PSE必須。違反は刑事罰,電気用品安全法
7. 規制・法律,電気用品安全法,でんきようひんあんぜんほう,電気製品の安全性を担保する日本の法律,PSEマークがないとAmazonで出品停止対象,PSE
7. 規制・法律,古物商許可,こぶつしょうきょか,中古品売買に必要な公安委員会の許可,中古せどりは必須。申請費1万9000円、取得まで40日,"中古せどり, 古物営業法"
7. 規制・法律,古物営業法,こぶつえいぎょうほう,中古品流通を規制する日本の法律,違反は3年以下懲役または100万円以下罰金,古物商許可
7. 規制・法律,食品衛生法,しょくひんえいせいほう,食品の安全衛生を担保する日本の法律,食品輸入には事前届出が必要。輸入実績がないと出品不可,出品制限カテゴリ
7. 規制・法律,薬機法,やっきほう,医薬品・化粧品・医療機器の規制法,化粧品出品には製造販売業許可・成分表記の規制あり,出品制限カテゴリ
7. 規制・法律,商標権,しょうひょうけん,商品名・ロゴを独占的に使用できる権利,他社商標を無断使用は知財侵害。OEMでは自社商標取得が定番,"知財侵害申立, 単独出品"
7. 規制・法律,知財侵害申立,ちざいしんがいもうしたて,商標・著作権者からAmazonへの侵害通報,1件で出品停止・アカウント健全性低下。最重大リスク,"商標権, アカウント停止"
7. 規制・法律,真贋調査,しんがんちょうさ,Amazonによる商品本物確認の調査,正規仕入れの請求書提出が要求される。FBA在庫が保留される,"出品制限, 知財侵害申立"
7. 規制・法律,景品表示法,けいひんひょうじほう,誇大広告や有利誤認表示を規制する日本の法律,「No.1」表記には根拠データが必須,薬機法
7. 規制・法律,特定商取引法,とくていしょうとりひきほう,通信販売における事業者情報開示を義務付ける法律,セラーセントラルに住所・電話番号の正確な記載が必須,出品アカウント
7. 規制・法律,リコール,りこーる,メーカーによる安全上の理由での商品回収,リコール対象品の販売は出品停止リスク。要事前確認,PSE
7. 規制・法律,並行輸入の真贋,へいこうゆにゅうのしんがん,並行輸入品が真贋調査で正規品証明を求められること,代理店経由でない為、流通経路の証明が困難になる,"並行輸入, 真贋調査"
8. 副業・税務,開業届,かいぎょうとどけ,個人事業を始めた際に税務署へ出す届出書,開業から1ヶ月以内提出が原則。費用無料,"青色申告承認申請書, 個人事業主"
8. 副業・税務,青色申告,あおいろしんこく,複式簿記による確定申告で最大65万円控除が受けられる制度,事前申請必須。Amazon物販は青色申告がほぼ前提,"青色申告承認申請書, 白色申告"
8. 副業・税務,青色申告承認申請書,あおいろしんこくしょうにんしんせいしょ,青色申告を行うための事前承認申請,開業から2ヶ月以内に提出。e-Taxで可能,"青色申告, 開業届"
8. 副業・税務,白色申告,しろいろしんこく,簡易な記帳で済む基本の確定申告方式,控除額が少ない。副業始めたては許容範囲,青色申告
8. 副業・税務,事業所得,じぎょうしょとく,継続的・反復的に行う事業から得る所得区分,Amazon物販は基本これ。青色申告と相性が良い,"雑所得, 確定申告"
8. 副業・税務,雑所得,ざつしょとく,他のどの所得区分にも該当しない所得,副業の規模が小さいうちは雑所得扱いになることも,事業所得
8. 副業・税務,経費,けいひ,事業活動のために支出した費用,仕入原価・手数料・ツール代・通信費・自宅按分等が認められる,"固定費, 按分"
8. 副業・税務,固定費,こていひ,毎月一定額発生する費用,大口出品料・ツール月額・倉庫保管料等,"経費, 変動費"
8. 副業・税務,変動費,へんどうひ,売上に比例して変動する費用,販売手数料・FBA手数料・仕入原価等,"経費, 固定費"
8. 副業・税務,按分,あんぶん,自宅家賃や光熱費を事業用に振り分けること,事業使用割合を合理的に説明できる根拠が必要,経費
8. 副業・税務,確定申告,かくていしんこく,1年間の所得を税務署に申告する手続き,2月16日〜3月15日が提出期間。e-Taxが標準,"事業所得, 青色申告"
8. 副業・税務,源泉徴収,げんせんちょうしゅう,給与から所得税を天引きされている状態,会社員副業の場合、年20万円超で確定申告必須,確定申告
8. 副業・税務,消費税課税事業者,しょうひぜいかぜいじぎょうしゃ,年売上1000万円超で消費税納付義務が発生する事業者,Amazon物販で月商85万円超続くと2年後に該当,インボイス
8. 副業・税務,インボイス,いんぼいす,適格請求書発行事業者制度の通称,登録番号がないと取引先で仕入控除されない。卸取引では実質必須,消費税課税事業者
8. 副業・税務,法人化,ほうじんか,個人事業から会社設立に移行すること,目安は年所得800万円超。社会保険・税率優位性が出る,個人事業主
8. 副業・税務,個人事業主,こじんじぎょうぬし,個人で事業を営む形態,開業届で成立。社長は現状この形態,"法人化, 開業届"
9. 発送・物流,FBA倉庫,えふびーえーそうこ,Amazonが運営する物流センター,小田原・市川・川島など全国20箇所以上,"納品プラン, FBA"
9. 発送・物流,フルフィルメントセンター,ふるふぃるめんとせんたー,FBA倉庫の正式名称,FCと略す。在庫はAmazon判断で他FCへ振り替えられる,FBA倉庫
9. 発送・物流,納品プラン,のうひんぷらん,FBA倉庫に商品を送る際の事前申請,セラーセントラルで作成。配送業者・個数・梱包形態を指定,"FBA, バーコードラベル"
9. 発送・物流,バーコードラベル,ばーこーどらべる,FBA納品時に各商品に貼るAmazon指定ラベル,SKUごとに割り当てられたコード。専用プリンタ印刷推奨,"FNSKU, JANコード"
9. 発送・物流,FNSKU,えふえぬえすけーゆー,Amazon独自の商品識別バーコード,JANと別物。FBA出品時に必須,"バーコードラベル, SKU"
9. 発送・物流,OPP袋,おーぴーぴーぶくろ,透明な梱包用ポリ袋,FBA梱包要件で必須となるケース多数。100枚300円程度,梱包要件
9. 発送・物流,梱包要件,こんぽうようけん,Amazonが定めるFBA納品時の梱包ルール,液体は二重梱包、複数点はセット商品ラベル等の決まりあり,"OPP袋, セット商品"
9. 発送・物流,セット商品,せっとしょうひん,複数商品を1パッケージにまとめた商品,「セット商品」シールの貼付が必要,梱包要件
9. 発送・物流,SAL便,えすえーえるびん,船便と航空便の中間サービス,日本郵便。中国輸入で20〜30日納期,EMS
9. 発送・物流,EMS,いーえむえす,国際スピード郵便サービス,中国輸入で5〜10日納期。送料は高め,SAL便
9. 発送・物流,FBA小型軽量プログラム,えふびーえーこがたけいりょうぷろぐらむ,小型低価格商品向けの手数料割引制度,1000円以下・80g以下等の条件あり。配送代行料が割安,FBA手数料
9. 発送・物流,マルチチャネル,まるちちゃねる,FBA在庫を楽天・Yahoo!等の他販路発送に使う機能,自社EC統合に便利。手数料は通常より高い,FBA
9. 発送・物流,関税,かんぜい,海外からの輸入品に課される税金,中国輸入で商品ジャンルにより0〜10%、加えて消費税10%,"輸入消費税, 中国輸入"
9. 発送・物流,輸入消費税,ゆにゅうしょうひぜい,輸入時に課される消費税,通関時に立替・後日精算,関税
10. トラブル系,アカウント停止,あかうんとていし,Amazonによる出品アカウントの利用停止処分,真贋・知財・パフォーマンス悪化が三大原因。最重大事故,"アカウント健全性, アピール文"
10. トラブル系,アピール文,あぴーるぶん,アカウント停止解除を求める申立書,原因分析・是正措置・再発防止策の3点セット必須,アカウント停止
10. トラブル系,カスタマーリターン,かすたまーりたーん,購入者による返品,Amazonの返品ポリシーは購入者有利。FBA出品では自動承認,返品率
10. トラブル系,返品率,へんぴんりつ,販売数に対する返品の割合,10%超は商品ページ・コンディションの見直しが必要,カスタマーリターン
10. トラブル系,コンディションガイドライン違反,こんでぃしょんがいどらいんいはん,Amazonが定める商品状態区分の表示違反,新品なのに開封済みは違反。クレーム多発,"コンディション, パフォーマンス通知"
10. トラブル系,評価1つき,ひょうかひとつき,購入者からの最低評価,出品者評価が98%以下で警告。即削除申請を行う,"出品者評価, 評価削除"
10. トラブル系,評価削除,ひょうかさくじょ,規約違反の評価を削除申請する手続き,商品レビューと出品者評価の混同等は削除対象,評価1つき
10. トラブル系,商品レビュー,しょうひんれびゅー,商品ページに付くカスタマー評価,出品者評価とは別。商品ページ全体の資産,評価削除
10. トラブル系,出品者評価,しゅっぴんしゃひょうか,セラー個人に付くカスタマー評価,アカウント健全性の主要構成要素,"アカウント健全性, 評価1つき"
10. トラブル系,A-to-Z保証クレーム,えーとぅーじーほしょうくれーむ,購入者がAmazonに直接救済を求める制度,FBM出品で特に注意。クレーム数で出品権剥奪も,カスタマーリターン
10. トラブル系,価格高騰検知,かかくこうとうけんち,Amazonが異常価格を検知して出品停止する仕組み,通常価格の数倍は自動停止対象,価格自動改定
10. トラブル系,二重出品,にじゅうしゅっぴん,同一商品を別ページで重複登録すること,規約違反。新規商品ページ作成時は要重複チェック,単独出品
10. トラブル系,フェイクオーダー,ふぇいくおーだー,競合や悪意者による嫌がらせ注文,大量カートアウト・即返品で在庫を凍結させる手法。検知次第Amazon報告,A-to-Z保証クレーム
10. トラブル系,在庫ハイジャック,ざいこはいじゃっく,他セラーが勝手に同じASINで相乗りし価格破壊する行為,商標登録+ブランド登録で防御するのが定番,"商標権, ブランド登録"
10. トラブル系,ブランド登録,ぶらんどとうろく,自社商標をAmazonに登録する制度,Amazon Brand Registry。在庫ハイジャック対策の本命,"商標権, 在庫ハイジャック"
