カテゴリ番号,カテゴリ名,仕入れ先名,URL,主な取扱ジャンル,開設難易度,最低発注,支払方法,リードタイム,初心者向き度,備考
A-4,大型ECモール,Yahoo!ショッピング / PayPayモール,https://shopping.yahoo.co.jp/,ほぼ全ジャンル,簡単,1点〜,"クレジット, PayPay",2〜7日,8,5の付く日・ゾロ目の日クーポン
A-4,大型ECモール,au PAY マーケット,https://wowma.jp/,ほぼ全ジャンル,簡単,1点〜,"クレジット, au PAY",2〜7日,6,Ponta勢の名所。競合少なめ
A-5,ディスカウント・アウトレット,ドン・キホーテ / MEGAドンキ,https://www.donki.com/,食品・日用品・玩具・コスメ・家電,—,1点〜,"現金, クレジット",即日,8,圧縮陳列＋驚安ポップが目印。MEGAは6〜10万SKU
A-5,ディスカウント・アウトレット,コストコ,https://www.costco.co.jp/,食品・日用品・玩具・家電,中（年会費5,280円）,1点〜（量多め）,"現金, クレジット, コストコグローバルカード",即日,5,カークランド人気だが競合増・利幅縮小傾向
A-5,ディスカウント・アウトレット,しまむら / 西松屋 等の店頭セール,—,アパレル・子供用品,—,1点〜,"現金, クレジット",即日,6,季節終わり50〜70%オフ狙い
A-6,中古市場,ブックオフ / ブックオフオンライン,https://shopping.bookoff.co.jp/,本・CD/DVD・ゲーム・家電・ホビー,—,1点〜,"現金, クレジット",即日〜3日,6,古物商必須。せどり発祥の地・修行場
A-6,中古市場,ハードオフ / オフモール,https://netmall.hardoff.co.jp/,楽器・オーディオ・PC周辺・ホビー,—,1点〜,"現金, クレジット",即日〜3日,7,古物商必須。転売を規約で禁じていない
A-6,中古市場,メルカリ,https://jp.mercari.com/,全ジャンル,簡単,1点〜,"クレジット, メルペイ, コンビニ",3〜7日,8,古物商必須。Amazon再販は規約上グレー要注意
A-6,中古市場,ヤフオク!,https://auctions.yahoo.co.jp/,全ジャンル（中古・廃番強い）,簡単,1点〜,"クレジット, PayPay",5〜10日,7,古物商必須。オークション波読み
A-6,中古市場,トレジャーファクトリー / トレファク系列,https://www.treasure-f.com/,アパレル・スポーツ・楽器・家具,—,1点〜,"現金, クレジット",即日〜3日,6,古物商必須。ジャンル特化店舗で目利きしやすい
A-7,海外輸入,1688.com（アリババ国内向け）,https://www.1688.com/,全ジャンル（卸価格・中国国内向け）,中〜難,MOQ 100個〜多,代行業者経由,14〜30日,3,中国語＋代行業者ほぼ必須。法務確認推奨
A-7,海外輸入,Alibaba.com（国際版）,https://www.alibaba.com/,全ジャンル（OEM・大ロット）,中,MOQ 100〜500個〜,"T/T, PayPal",30〜45日,2,OEM・自社ブランド化向け。法務確認推奨
A-7,海外輸入,タオバオ（淘宝網）,https://www.taobao.com/,全ジャンル（個人向け小ロット）,中,1点〜,代行業者経由,14〜30日,4,小ロットで試せる。法務確認推奨
A-7,海外輸入,eBay（米欧）,https://www.ebay.com/,コレクター品・廃番・電子部品,簡単,1点〜,"PayPal, クレジット",7〜21日,5,為替・関税の計算必須
A-8,CF後続・在庫処分,Makuake（マクアケ）後続在庫,https://www.makuake.com/,新規ガジェット・雑貨,中,メーカー次第,銀行振込,14〜30日,4,CF成功品の二次流通権獲得は営業力次第
A-8,CF後続・在庫処分,CAMPFIRE 後続在庫,https://camp-fire.jp/,新規ガジェット・コミュニティ系,中,メーカー次第,銀行振込,14〜30日,4,共感型CFの後発販路
A-8,CF後続・在庫処分,GREEN FUNDING,https://greenfunding.jp/,ガジェット・モノ系,中,メーカー次第,銀行振込,14〜30日,3,テック系新商品が多い
A-8,CF後続・在庫処分,在庫処分業者（雑貨レイジー 等）,https://shop.zakka-lazy.com/,廃番品・季節終わり・倒産在庫,中,ロット単位,銀行振込,7〜14日,4,廃番プレミア品の宝の山。不良在庫リスク注意
