No,社名,所在地,従業員数,従業員数の出典URL,取扱カテゴリ,Amazon取扱状況(Keepa実測),TEL,問い合わせ/取引フォームURL,仕入れられそうと言える根拠(1行),根拠の出典URL,注意点
11,守田漆器株式会社,石川県加賀市山中温泉上原町ワ528,未取得（gBizINFO 欠測）,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=8220001013599,山中漆器（漆器・漆塗商品）,manufacturer「守田漆器」で20件ヒット・製造元一致（2026-09-06）,0761-78-0106,https://urusi.jp/contact/,公式サイトに「法人のお客様」「お取引」の導線があり、事業内容に卸売が明記されている,https://urusi.jp/contact/,検索結果には 0761-87-0106 とあるが、公式サイト実測は 0761-78-0106。公式を採用
12,池本刷子工業株式会社,大阪府東大阪市玉串町西1-3-27,未取得（gBizINFO 欠測）／55人（二次）,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=7122001000274,ヘアブラシ・化粧用具,brand「池本刷子工業(Ikemoto Brush)」で20件ヒット・brand一致（2026-09-06）,072-964-2331（本社工場）／03-3664-5330（東京）,http://www.ikemoto-brush.co.jp/contact/,公式サイト内に卸の記載があり、東京にも営業拠点を置いて取引先を持つ体制がある,http://www.ikemoto-brush.co.jp/about/,従業員数は転職媒体（二次）のみ。一次情報では未取得
13,木内籐材工業株式会社,東京都文京区千石4-40-24,未取得（gBizINFO 欠測）,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=4010001001991,籐（ラタン）製品・籐うちわ・敷物,manufacturer「木内籐材工業株式会社」で14件ヒット・製造元一致（2026-09-06）,03-3941-4484,https://www.kiuchi-tohzai.co.jp/original8.html,公式に「籐製品の製造および卸」と事業内容を明記し、旅館・ゴルフ場へ納入実績がある,https://www.kiuchi-tohzai.co.jp/original8.html,問い合わせがログイン方式のフォーム。電話が実質の入口
14,朝倉染布株式会社,群馬県桐生市浜松町1-13-24,95人（gBizINFO）,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1070001015535,超撥水加工品（風呂敷等）・合成繊維の染色整理加工,brand「朝倉染布」で20件ヒット・brand一致（2026-09-06）,0277-44-3171（二次）,https://www.asakura-senpu.co.jp/qa-contact/,自社ブランド商品（スーパーはっ水風呂敷）を持ちつつ本業が受託加工＝BtoB取引が日常業務,https://www.asakura-senpu.co.jp/company/company-profile/,TELは公式ページから機械抽出できず二次情報。フォームが確実
15,河野製紙株式会社,高知県高知市下島町71,123人（gBizINFO）,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=9490001001015,ティッシュ・トイレットペーパー・保湿ペーパー,brand「河野製紙」で20件ヒット・brand一致（2026-09-06）,088-822-3107,https://www.kawano-p.co.jp/contact/,公式サイトに別注の記載があり、保湿ティッシュの特許を持つ自社ブランドメーカー,https://www.kawano-p.co.jp/about/profile/,20社中で最大規模。直接取引の通りやすさは他より低い可能性
16,株式会社清水硝子,東京都葛飾区堀切4-64-7,6人（gBizINFO）,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=9011801002134,江戸切子・カットグラス,「清水硝子 江戸切子」で20件ヒットだが一致は generic な brand「江戸切子」。自社ブランドの存在は要目視（2026-09-06）,未取得,https://shimizuglass.com/contact_corp/,公式サイトに法人専用の問い合わせフォーム（contact_corp）が個人用と別に用意されている,https://shimizuglass.com/contact_corp/,Amazon 上の取扱いが未確定。需要の裏取りが 20社中もっとも弱い
17,小野甚味噌醤油醸造株式会社,京都府京丹後市峰山町杉谷300,未取得（gBizINFO 欠測）,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2130001042654,醤油・味噌（天然醸造）,brand「小野甚味噌醤油醸造」で20件ヒット・brand一致（2026-09-06）,0772-62-0476,公式サイト未特定（日本醤油協会・京丹後ナビの掲載で連絡先を確認）,既に Amazon に自社ブランド名の商品が並んでおり、卸経由の流通が現に成立している,https://www.soysauce.or.jp/manuf/%E5%B0%8F%E9%87%8E%E7%94%9A%E5%91%B3%E5%99%8C%E9%86%A4%E6%B2%B9%E9%86%B8%E9%80%A0%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE,公式サイトを特定できず。TELは二次情報2件が一致（要一次確認）
18,側島製罐株式会社,愛知県名古屋市中村区名駅南2-13-18（登記）／工場：海部郡大治町,40人（gBizINFO）／45名（公式・2024-09）,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=3180001030950,ブリキ缶・スチール缶（自社D2Cブランドあり）,「側島製罐」「SOBAJIMA 缶」の2クエリともブランド一致0件＝Amazon 不在（2026-09-06）,052-442-5111,https://sobajima.jp/sobajima-contact,自社 EC（BASE）で D2C 商品を直販しているのに Amazon には出ていない＝販路として空いている,https://sobajima.jp/company/,Amazon 不在は「独占余地」と「需要ゼロ」の両方に見える。1件目に選ぶなら需要検証が別途必要
19,本野はきもの工業,大分県日田市,4人（二次・公式紹介記事）,https://motono-hakimono.com/about,下駄（日田下駄）,「本野はきもの」でヒット0件＝Amazon 不在（2026-09-06）,0973-22-4460,https://motono-hakimono.com/contact,生産から販売まで自社工房で一貫、直売所も持つ＝仲介なしで直接話せる相手,https://motono-hakimono.com/about,gBizINFO に該当法人なし＝個人事業の可能性。『相手が個人事業』であって『当方が個人事業主だから不可』ではない
20,田中帽子店（窓口：有限会社ビスポーク）,埼玉県春日部市（製造）／さいたま市西区（窓口）,未取得,https://tanaka-hat.jp/fs/tanakahat/c/company,麦わら帽子・天然素材帽子,brand「田中帽子店」で20件ヒット・brand一致（2026-09-06）,048-940-8829,https://tanaka-hat.jp/fs/tanakahat/c/company,公式サイトが問い合わせ窓口を代理店（有）ビスポークと明記＝取次の窓口が公開されている,https://tanaka-hat.jp/fs/tanakahat/c/company,メーカー直ではなく代理店経由。独占交渉の相手としては一段遠い
