順位,ID,社名,ブランド,主な商品,事業者の型,打診母数のASIN数,分類,窓口,卸・代理店経由の指定,個人事業主・ネット販売事業者,Amazon販売の制限,公開のロット・掛け率,Amazonブランド登録(ストア有無),商標(TMview),NETSEA社名一致,根拠1行,備考,出典URL,取得日
11,11,株式会社カスタムジャパン（国内代理店）,COMPASS,自転車タイヤ,輸入・卸・調達,4,D,（代理店）,海外ブランドの国内正規販売代理店,記載なし,記載なし,記載なし,—,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,COMPASS は海外製タイヤ。国内はカスタムジャパン（自転車部品EC）が正規販売代理店（同社プレスリリース2013）,T-1 の代理店判定から漏れた型,https://www.customjapan.jp/press/pdf/press_130124_COMPASStire.pdf,2026-09-14
12,12,シースター株式会社,ベビースマイル,電動鼻水吸引器・ベビーセンサー,企画メーカー（ファブレス）,5,A,お問合せページに「お取引に関するお問い合わせ」,記載なし,記載なし,記載なし,記載なし,ブランドストアあり（＝ブランド登録済み）,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,取引専用の問い合わせ区分あり。医療機器の開発・販売,管理医療機器を含む。販売業の届出の要否は要確認（ハルオ）,https://www.seastar.co.jp/contact/,2026-09-14
13,13,株式会社NAGARA,ながら洗車／BUDDICA PHOENIX BODY,カーケア用品,企画メーカー（ファブレス）,7,B,特商法に電話。取引の窓口は公式に見当たらず（3ページ上限内）,記載なし,記載なし,記載なし,記載なし,ブランドストアあり（＝ブランド登録済み）,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,従業員20名。Amazon 販売事業者アワード3回受賞＝自社が Amazon の主要出品者,カー用品店（ジェームス等）に卸実績,https://nagaracarwash.com/pages/about-us,2026-09-14
14,14,株式会社アート・エム,アート・エム,OPP袋,EC小売（自社PB）,5,B,電話（フォームなし）,記載なし,記載なし,記載なし,記載なし,ブランドストアあり（＝ブランド登録済み）,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,製造・梱包・発送を自社で行い、Amazon・楽天・Yahoo で直販。「電話注文・店頭販売は行っておりません」,自社が Amazon 出品者,https://www.art-m.co.jp/,2026-09-14
15,15,株式会社みやこ,MIYACO,紙コップ,EC小売（自社PB）,5,D,メール・フリーダイヤル（小売の窓口）,記載なし,記載なし,記載なし,小ロット販売あり（小売として）,—,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,事業=日用雑貨の通信販売（小売）。メーカーではない,,https://www.miyaco.jp/hpgen/HPB/categories/16550.html,2026-09-14
16,16,ペットライン株式会社,プロフェッショナル・バランス,ドッグフード,自社製造メーカー,10,A,「法人のお客様」メール窓口,記載なし（取扱店検索あり＝販売店網で流通）,記載なし,記載なし,記載なし,ストアなし（browse ノード）,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,法人向けの問い合わせ窓口を個人用と分けて設置。国内工場で製造,T-1 の2グループ（プロフェッショナルバランス／ペットラインプロバラ）を統合,https://www.petline.co.jp/consultation/,2026-09-14
17,17,株式会社プライムダイレクト,VOLZAC（NONN）,ゴミ箱,大手・上場G,1,D,—,—,—,—,—,—,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,IKホールディングス（上場）の100%子会社。テレビ通販事業者,,https://prtimes.jp/main/html/rd/p/000000302.000016153.html,2026-09-14
18,18,株式会社MIC,ラ・フェアリー,電動マッサージ器,自社製造メーカー,2,A,フォーム（区分に「商品の購入・販売について」）,記載なし,記載なし,記載なし,記載なし,ストアなし（検索リンク）,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,OEM 受託と自社製品のメーカー。問い合わせ区分に販売の項目あり,同名の上場会社（MIC株式会社）とは別,https://mic-tech.jp/,2026-09-14
19,19,HEY!（運営法人名は公式に記載なし）,sangenya（国旗王）,カードゲーム,企画メーカー（ファブレス）,2,A,フォーム（件名・本文の汎用）,記載なし,記載なし,記載なし,記載なし,ストアなし（browse ノード）,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,ボードゲームの企画・販売。ハンズ・ヨドバシ等で流通（検索結果）,法人名が未確認。送る前に特商法表記の有無を確認,https://heyteam.net/contact/,2026-09-14
20,20,株式会社BTO,BPRO,カーケミカル,自社製造メーカー,2,A,フォーム（区分：メディア/Amazonで購入された商品/その他）,記載なし,記載なし,記載なし,記載なし,ブランドストアあり（＝ブランド登録済み）,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,事業=カーディテイリング製品の開発・製造・卸売・施工,取引専用の区分は無い。自社でも Amazon 販売,https://bto-ao.co.jp/contact/,2026-09-14
21,21,株式会社和光ケミカル,ワコーズ,ケミカル用品,大手・上場G,11,D,—,中間代理店を通さない直販方式（Wikipedia）,—,—,—,—,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,従業員560名（検索結果の二次情報）＝T-1 大手基準（300人超）,T-1 の大手判定から漏れた型,https://www.wako-chemical.co.jp/corporate/profile/,2026-09-14
22,22,MRG JAPAN,MRG,トレーニングマット,輸入・卸・調達,4,A,フォーム（区分に「業務に関するお問い合わせ」）,記載なし,記載なし,記載なし,記載なし,ブランドストアあり（＝ブランド登録済み）,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,業務内容=卸・小売業（従業員50名）。国内外から調達し EC で販売,メーカーではなく調達・EC 事業者。自社で Amazon 公式ストア,https://mrg-jp.com/contact/,2026-09-14
23,23,（特定できず）,atRise,タロットカード,特定できず,1,D,公式サイト未発見,—,—,—,—,—,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,Amazon 出品者名以外に事業者情報が出ない,,,2026-09-14
24,24,グローバルアーク株式会社,フィットフィンガートレーニング（フロッグハンド）,足指トレーニング器,企画メーカー（ファブレス）,3,A,フォーム＋メール＋フリーダイヤル,記載なし,記載なし,記載なし,記載なし,ブランドストアあり（＝ブランド登録済み）,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,公式サイトのメニューに「取扱店募集」（本文は未読）,同名の別会社（福岡・写真撮影業）に注意,https://www.fft2015.com/otoiawase,2026-09-14
25,26,株式会社ヤマウチ,鎌倉ライフ,枕,EC小売（自社PB）,1,B,楽天店舗の会社概要のみ（公式サイト未発見）,記載なし,記載なし,記載なし,記載なし,未調査,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,楽天店舗「鎌倉ライフ」を運営する香川県高松市の小売。モールの顧客窓口しかない,,https://www.rakuten.co.jp/happylaugh/info.html,2026-09-14
26,27,株式会社山谷産業,エリッゼ（村の鍛冶屋）,鍛造ペグ,自社製造メーカー,3,A,お問い合わせ（個人／法人の区分あり）,記載なし（取扱店舗の案内あり）,記載なし,記載なし,記載なし,ブランドストアあり（＝ブランド登録済み）,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,燕三条の鍛造製品の製造・販売。法人向けの問い合わせ区分あり,自社で村の鍛冶屋（本店・楽天・Amazon）を運営,https://www.yamac.co.jp/,2026-09-14
27,28,有限会社フィアックアマル,G.O.K,ウィンドウコーティング剤,自社製造メーカー,2,A,フォーム（通販サイト内・汎用）,記載なし,記載なし,記載なし,記載なし,ブランドストアあり（＝ブランド登録済み）,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,コーティング剤の自社開発・製造・販売（施工店を兼業）,,https://gok-fiac-a.shop/contact,2026-09-14
28,29,SACラボ株式会社,ジアニスト,次亜塩素酸水,自社製造メーカー,2,A,会社概要に電話・メール,記載なし,記載なし,記載なし,記載なし,ブランドストアあり（＝ブランド登録済み）,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,製造から販売まで自社・関連会社（公式）。卸先に法人数社を掲載,自社で楽天・Yahoo・Amazon 店を運営,https://www.vitaminlabo.com/company/,2026-09-14
29,30,株式会社タイガーゴム,タイガーゴム,ヨーヨー風船,自社製造メーカー,1,A,フォーム（汎用）＋メール,記載なし,記載なし,記載なし,記載なし,ストアなし（検索リンク）,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,大正元年創業のゴム風船メーカー。完全自社工場,,https://www.tigergomu.com/contact.html,2026-09-14
30,31,秋山産業株式会社,PURE,手巻きたばこフィルター,輸入・卸・調達,5,B,フォーム（汎用）,記載なし,記載なし,記載なし,記載なし,未調査,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,事業=たばこ製品の輸出入・販売（従業員26名）。PURE が自社ブランドか輸入品かは公式に記載なし,たばこ関連品の Amazon 出品可否は未確認,https://www.akiyamasangyo.jp/company03,2026-09-14
31,32,（特定できず）,irokagu,プラスチックカップ,特定できず,4,D,公式サイトが HTTP 402（閲覧不可・2026-09-14）,—,—,—,—,—,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,公式サイトが閲覧できず、事業者を特定できない,,https://irokagu.com/pages/about,2026-09-14
32,33,株式会社アガツマ,アガツマ,幼児玩具,自社製造メーカー,2,B,「お取引先様専用ページ」（ID・パスワード制）。新規取引の窓口は3ページ内で確認できず,既存取引先向けの専用ページのみ,記載なし,記載なし,記載なし,未調査,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,玩具の企画開発・製造販売（従業員60名・公式）。主要取引先は赤ちゃん本舗・西松屋・トイザらス（検索結果）,問い合わせページの推定URLは404,https://www.agatsuma.co.jp/ecatalog,2026-09-14
33,34,株式会社リッチェル,リッチェル,ベビー用品,大手・上場G,1,D,法人のお客様ページあり,—,—,—,—,—,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,従業員308名（2026-03-31・マイナビ）＝T-1 大手基準（300人超）,,https://www.richell.co.jp/company/outline/,2026-09-14
34,35,イースター株式会社,イースター（バニーセレクション）,うさぎ用フード,自社製造メーカー,6,B,お客様相談窓口（電話）。フォームは3ページ内で確認できず,FAQ「販売店がわからない→弊社の営業がお探しします」＝営業経由の販売店網,記載なし,記載なし,記載なし,未調査,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,ペットフードの製造・販売（1964年設立・自社工場）,,https://www.yeaster.co.jp/faq/,2026-09-14
35,36,株式会社快適生活（メーカー欄は株式会社一葉）,快適生活（ヒトデdeでんでん）,忌避剤,EC小売（自社PB）,2,D,—,—,—,—,—,—,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,快適生活はラジオ・新聞通販の小売（売上120億円）。製造元とみられる株式会社一葉は特定できず（福岡の同名保育会社とは別と推測）,,https://www.kensei-online.com/companyinfo.php,2026-09-14
36,37,ユニバーサルシステムズ株式会社,PDA工房,保護フィルム,自社製造メーカー,4,A,FAQ ページにフォーム,記載なし,記載なし,記載なし,記載なし,未調査,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,日本製保護フィルムの製造販売（倉敷）,「学校・法人・卸・業販の問い合わせを受け付け」は検索結果の要約で、公式本文は未確認。自社で Amazon 等10店以上,https://pdakobo.com/faq/,2026-09-14
37,38,ST-TRADE株式会社,ST-TRADE,不織布マスク,輸入・卸・調達,1,A,フォーム（区分に「商品の仕入れ(貿易)、代理店契約等」）,記載なし,記載なし,記載なし,記載なし,未調査,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,2009年創業の貿易会社（主に中国との取引）。仕入れの問い合わせ区分あり,メーカーではなく輸入商社,https://st-trade.jp/form.html,2026-09-14
38,39,ARTISAN,ARTISAN,ゲーミングマウスパッド,企画メーカー（ファブレス）,4,B,公式ストアのサポート。取引の窓口は3ページ内で確認できず,「公式リセラー（正規販売店）」制。国内リセラー一覧を公開,記載なし,記載なし（リセラー一覧に Amazon 上の店舗を含む）,記載なし,未調査,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,国産マウスパッドのメーカー。販売は正規販売店制,,https://artisan-jp.com/jp/authorized-resellers,2026-09-14
39,40,株式会社ピチカートデザイン,JELLY JELLY GAMES,ボードゲーム,企画メーカー（ファブレス）,6,A,フォーム（汎用）,記載なし,記載なし,記載なし,記載なし,ブランドストアあり（＝ブランド登録済み）,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,オリジナルボードゲームの企画・販売（ボードゲームカフェ運営会社）,,https://jelly2games.com/contact,2026-09-14
40,41,株式会社ガリバー（推測：横浜の印刷会社）,株式会社ガリバー,カードゲーム,自社製造メーカー,1,B,フォーム（印刷の見積り・資料請求）,記載なし,FAQ「個人ですが取引可能ですか？」→「お取り引きはお受けしておりません」（印刷受注について）,記載なし,記載なし,未調査,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,同名2社のうち、自社カードゲームを出したと PR TIMES にあるのは横浜の DM・印刷会社。当該 ASIN との一致は推測（確度中）,,https://www.gulliver.co.jp/faq/,2026-09-14
41,42,株式会社フジテックス,クロスマーケット,ラミネートフィルム,輸入・卸・調達,1,A,資料請求・お問合せ（JS 描画で項目は未取得）,記載なし,記載なし,記載なし,記載なし,未調査,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,"販促資材の総合商社。ラミネートフィルム月1,000万枚販売",資本金3億円・従業員150〜300名（検索結果）＝T-1 大手基準の境界,https://www.fjtex.co.jp/hansoku/company/,2026-09-14
42,43,株式会社タカギ,タカギ,浄水カートリッジ,大手・上場G,1,D,—,取扱店あり,—,—,—,—,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,"従業員1,252〜1,399名（gBizINFO・マイナビ）",,https://www.takagi.co.jp/,2026-09-14
43,44,株式会社ライカ,FORTUNE FIELD,グラブケア用品,自社製造メーカー,2,B,電話（通販サイトの会社概要）。フォームは未確認,記載なし,記載なし,記載なし,記載なし,未調査,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,昭和3年創業の靴クリームメーカー。OEM 受注から自社ブランドを立ち上げ,3ページ上限内で文面を送る窓口を確認できず,http://www.fortunefield.tokyo/html/company.html,2026-09-14
44,45,淡路梅薫堂株式会社,淡路梅薫堂,線香・お香,自社製造メーカー,2,A,メール（会社概要）,記載なし,記載なし,記載なし,記載なし,ブランドストアあり（＝ブランド登録済み）,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,会社概要に「卸、卸売り・OEM・製造販売元」と明記,,https://www.awaji-baikundo.com/kaishagaiyou.htm,2026-09-14
45,46,株式会社DETAIL ARTIST,DETAIL ARTIST,カーコーティング剤,企画メーカー（ファブレス）,3,A,フォーム（汎用）,記載なし,記載なし,記載なし,記載なし,ブランドストアあり（＝ブランド登録済み）,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,ブランド事業・OEM/PB 事業（従業員8名）。量販店500店舗で取扱,主要取引先に Amazon ジャパンを掲載,https://detail-artist.jp/contact/,2026-09-14
46,47,（特定できず）,次世代製作所,インサートナット工具,特定できず,3,D,公式サイト未発見,—,—,—,—,—,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,Amazon 出品者名以外に事業者情報が出ない,JAN 07,,2026-09-14
47,48,ねむりの部屋（名古屋市・運営法人名は未確認）,ねむりの部屋,タオル,EC小売（自社PB）,3,B,Yahoo 店舗の会社概要のみ（メール・電話）,記載なし,記載なし,記載なし,記載なし,未調査,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,寝具・タオルの小売店。公式サイトが無くモールの顧客窓口しかない,,https://store.shopping.yahoo.co.jp/nemurinoheya/info.html,2026-09-14
48,49,愛知電線株式会社,愛知電線,VVF ケーブル,自社製造メーカー,8,A,フォーム（区分：弊社/製品/採用）,記載なし,記載なし（貴社名欄に「個人のお客様は個人と記載」）,記載なし,記載なし,ストアなし（browse ノード）,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,電線メーカー（従業員70名・検索結果）。フォームは個人の問い合わせも受ける,フォームに「セールス・勧誘等は固くお断り」の注記,https://www.aichidensen.co.jp/contact/,2026-09-14
49,50,（特定できず）,SeatheStars,トレーニングマット,特定できず,5,D,公式サイト未発見,—,—,—,—,—,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,Amazon 出品者名のみ。同音の株式会社シーザスターズ（食のマーケティング）は別会社,,,2026-09-14
50,51,株式会社タツフト,あしあげ隊,家電用防振ゴムマット,自社製造メーカー,3,C,フォーム,記載なし,「ECサイトでの販売のみを目的とした『あしあげ隊』新規お取引のお願いについては現在お断り」,上記（EC 専業の新規取引お断り）,記載なし,—,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,問い合わせフォームに EC 専業の新規取引お断りを明記,,https://www.tatsufuto.co.jp/inq/,2026-09-14
51,52,ウィキャンテクノ株式会社,春夏秋冬,回転モップ,EC小売（自社PB）,1,B,楽天店舗の会社概要のみ（電話）,記載なし,記載なし,記載なし,記載なし,未調査,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,大阪の EC 小売。公式サイトが無くモールの顧客窓口しかない,,https://www.rakuten.co.jp/shunkashuutou-zakka/info.html,2026-09-14
52,53,WADAI PRODUCTS（運営法人名は公式に記載なし）,WADAI PRODUCTS,整備工具,企画メーカー（ファブレス）,1,A,メール（公式リンク集に掲載）,記載なし,記載なし,記載なし,記載なし,未調査,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,整備現場発の工具ブランド（大阪）。オートアフターマーケット展示会に出展（2026-09）,法人名が未確認,https://lit.link/en/wadaibuzztools,2026-09-14
53,54,ウェブシステムズ株式会社,デッドニング・防音工房,3M シンサレート吸音シート,EC小売（自社PB）,1,D,フォーム,—,—,—,—,—,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,防音材の通信販売店。当該 ASIN は 3M 製品の小売で、メーカーではない,,https://www.deadening.net/co.html,2026-09-14
54,55,"Matroospet Co., Ltd.（韓国）",マドロスペット,フリーズドライおやつ,中国・海外,1,D,—,—,—,—,—,—,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,推測：韓国ブランド（検索結果の要約・二次。確度中）,,,2026-09-14
55,56,（特定できず）,N.Qurio,ノーズワークマット,特定できず,1,D,公式サイト未発見,—,—,—,—,—,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,事業者情報が出ない,,,2026-09-14
56,57,（特定できず）,Basicest,ボタン電池,特定できず,1,D,公式サイト未発見,—,—,—,—,—,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,Amazon 販売者名（Sanritsu GK）は検索要約の二次情報のみ,,,2026-09-14
57,58,株式会社ルミカ,ルミカ,ケミカルライト,自社製造メーカー,2,B,3ページ内で確認できず,主要販売先は全国の釣具問屋・量販店（問屋経由の流通）,記載なし,記載なし,記載なし,未調査,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,化学発光体メーカー（社員109名・公式）。流通は問屋・量販店,,https://www.lumica.co.jp/aboutus/company,2026-09-14
58,59,株式会社ルイファン・ジャパン,KING BLADE,ペンライト,企画メーカー（ファブレス）,3,A,お問い合わせ（法人／個人の区分）,記載なし,記載なし,記載なし,記載なし,ストアなし（browse ノード）,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,ペンライトの企画開発。製造は中国の関連工場（公式）。OEM も受託,,https://ruifan.co.jp/contact/,2026-09-14
59,60,ラトックシステム株式会社,ラトックシステム,HDMI 周辺機器,自社製造メーカー,2,A,東京営業部の購入窓口フォーム＋法人窓口,販売代理店網あり（公式に一覧）,記載なし,記載なし,記載なし,ブランドストアあり（＝ブランド登録済み）,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,PC 周辺機器メーカー（従業員48〜57名）。「ご購入に関する全般的なお問い合わせは東京営業部」,自社でも楽天・Amazon・Yahoo に出店,https://www.ratocsystems.com/mail/,2026-09-14
60,61,株式会社サンコー商事,ペットスタジオ,ペットシーツ,EC小売（自社PB）,2,B,会員登録制の「ペット用品仕入れサイト」,自社が仕入れサイトを運営,記載なし,記載なし,記載なし,未調査,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,サイト名が「ペット用品仕入れサイト」。仕入れには会員登録が要る（§4.1）,T-1 の上位60社枠に繰り上げ（キュリエ統合で空いた1枠）,https://www.petstudio.jp/view/company,2026-09-14
